Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title,Standardized_Occupation_Name
Firefighters,323153,11674.0,306960,10810.0,16193,2736.0,5.0,0.8,77897,1804,78369,1932,70174,9622,89.5,12.6,2022,0.032681225194167,firefighters,33-2011.00,Firefighters,33-2011,Firefighters,firefighters
Fire inspectors,26258,2818.0,23547,2581.0,2711,901.0,10.3,3.1,72207,4913,72163,5304,72702,19553,(X),(X),2022,0.005471426017500571,fire inspectors,,,,,
Bailiffs,21671,2839.0,15015,2400.0,6656,1493.0,30.7,5.9,61087,8212,61309,10113,60858,11242,(X),(X),2022,0.013433349897633274,bailiffs,33-3011.00,Bailiffs,33-3011,Bailiffs,bailiffs
Correctional officers and jailers,288930,11109.0,210944,9819.0,77986,5440.0,27.0,1.7,57250,1296,60376,1144,49947,2231,82.7,3.9,2022,0.1573938138697158,correctional officers and jailers,33-3012.00,Correctional Officers and Jailers,33-3012,Correctional Officers and Jailers,correctional officers and jailers
Detectives and criminal investigators,134308,7152.0,98355,5826.0,35953,3576.0,26.8,2.2,91309,2125,95839,1556,82150,3475,85.7,4,2022,0.07256148270276579,detectives and criminal investigators,33-3021.00,Detectives and Criminal Investigators,33-3021,Detectives and Criminal Investigators,detectives and criminal investigators
Detectives and criminal investigators,134308,7152.0,98355,5826.0,35953,3576.0,26.8,2.2,91309,2125,95839,1556,82150,3475,85.7,4,2022,0.07256148270276579,detectives and criminal investigators,33-3021.02,Police Identification and Records Officers,33-3021,Detectives and Criminal Investigators,detectives and criminal investigators
Detectives and criminal investigators,134308,7152.0,98355,5826.0,35953,3576.0,26.8,2.2,91309,2125,95839,1556,82150,3475,85.7,4,2022,0.07256148270276579,detectives and criminal investigators,33-3021.06,Intelligence Analysts,33-3021,Detectives and Criminal Investigators,detectives and criminal investigators
Fish and game wardens,8848,1660.0,8028,1630.0,820,500.0,9.3,5.5,64097,4912,65987,7558,62990,4790,(X),(X),2022,0.0016549499573406375,fish and game wardens,33-3031.00,Fish and Game Wardens,33-3031,Fish and Game Wardens,fish and game wardens
Parking enforcement workers,5293,1143.0,3726,977.0,1567,682.0,29.6,11.0,49192,4007,49970,4596,46356,14564,(X),(X),2022,0.0031625690038448524,parking enforcement workers,33-3041.00,Parking Enforcement Workers,33-3041,Parking Enforcement Workers,parking enforcement workers
Police officers,772084,17858.0,664790,16164.0,107294,8028.0,13.9,0.9,75312,886,77017,854,64004,2439,83.1,3.3,2022,0.21654414722305657,police officers,,,,,
Animal control workers,7040,1364.0,4380,1025.0,2660,1009.0,37.8,10.8,44010,7122,40054,8179,47627,8790,(X),(X),2022,0.005368496203080605,animal control workers,33-9011.00,Animal Control Workers,33-9011,Animal Control Workers,animal control workers
Private detectives and investigators,98592,5514.0,50303,4275.0,48289,3368.0,49.0,2.7,63832,2308,73665,5545,55552,3859,75.4,7.9,2022,0.0974583884024659,private detectives and investigators,33-9021.00,Private Detectives and Investigators,33-9021,Private Detectives and Investigators,private detectives and investigators
Security guards and gambling surveillance officers,682764,15226.0,530934,14076.0,151830,7714.0,22.2,1.0,38977,674,40021,634,36032,970,90,3,2022,0.3064281122232061,security guards and gambling surveillance officers,,,,,
Crossing guards and flaggers,13006,2052.0,8801,1785.0,4205,1104.0,32.3,7.4,37087,6546,39571,7921,32354,11658,(X),(X),2022,0.008486664110509001,crossing guards and flaggers,33-9091.00,Crossing Guards and Flaggers,33-9091,Crossing Guards and Flaggers,crossing guards and flaggers
Transportation security screeners,31862,3843.0,20340,2871.0,11522,2178.0,36.2,5.0,48817,2371,51035,2671,45231,3355,88.6,8.4,2022,0.02325406513229125,transportation security screeners,33-9093.00,Transportation Security Screeners,33-9093,Transportation Security Screeners,transportation security screeners
School bus monitors,11736,1886.0,1124,467.0,10612,1939.0,90.4,4.2,27271,5110,28949,7708,27091,5254,(X),(X),2022,0.0214174743259742,school bus monitors,33-9094.00,School Bus Monitors,33-9094,School Bus Monitors,school bus monitors
Other protective service workers,30981,3072.0,19620,2537.0,11361,1835.0,36.7,4.9,41309,2861,46536,5313,34628,3803,74.4,11.5,2022,0.022929129835789003,other protective service workers,,,,,
Food Preparation and Serving Related Occupations,3352373,39682.0,1759798,29679.0,1592575,25645.0,47.5,0.6,30448,123,32097,172,27393,209,85.3,0.8,2022,3.2141852784289826,food preparation and serving related occupations,,,,,
Chefs and head cooks,350589,10775.0,280063,9444.0,70526,5147.0,20.1,1.3,41162,732,42271,1143,36114,1586,85.4,4.8,2022,0.1423378057212266,chefs and head cooks,35-1011.00,Chefs and Head Cooks,35-1011,Chefs and Head Cooks,chefs and head cooks
Firstline supervisors of food preparation and serving workers,325460,11378.0,137696,7872.0,187764,8305.0,57.7,1.8,34348,934,39145,1035,31326,554,80,2.4,2022,0.3789512485245213,firstline supervisors of food preparation and serving workers,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,firstline supervisors of food preparation and serving workers
Cooks,1066428,22383.0,659827,16824.0,406601,13669.0,38.1,1.0,28866,404,30497,265,26278,378,86.2,1.5,2022,0.8206150092739762,cooks,,,,,
Food preparation workers,329509,11660.0,136027,7078.0,193482,9904.0,58.7,1.9,26966,353,28536,960,26250,381,92,3.3,2022,0.3904914971294893,food preparation workers,35-2021.00,Food Preparation Workers,35-2021,Food Preparation Workers,food preparation workers
Bartenders,205622,10346.0,104293,7578.0,101329,6101.0,49.3,2.2,37187,1124,40614,1164,34599,1809,85.2,4.6,2022,0.20450539539923102,bartenders,35-3011.00,Bartenders,35-3011,Bartenders,bartenders
Fast food and counter workers,196440,9156.0,74695,5640.0,121745,7238.0,62.0,2.3,25493,532,27504,1597,24846,822,90.3,6.1,2022,0.24570961287370235,fast food and counter workers,35-3023.00,Fast Food and Counter Workers,35-3023,Fast Food and Counter Workers,fast food and counter workers
Fast food and counter workers,196440,9156.0,74695,5640.0,121745,7238.0,62.0,2.3,25493,532,27504,1597,24846,822,90.3,6.1,2022,0.24570961287370235,fast food and counter workers,35-3023.01,Baristas,35-3023,Fast Food and Counter Workers,fast food and counter workers
Waiters and waitresses,588675,16687.0,216293,9468.0,372382,12255.0,63.3,1.2,30000,794,32411,853,27070,401,83.5,2.4,2022,0.7515531402614893,waiters and waitresses,35-3031.00,Waiters and Waitresses,35-3031,Waiters and Waitresses,waiters and waitresses
Food servers nonrestaurant,74727,5516.0,29713,3665.0,45014,4226.0,60.2,3.8,29730,1608,29674,3579,29753,1786,100.3,14.5,2022,0.09084867973137982,food servers nonrestaurant,35-3041.00,"Food Servers, Nonrestaurant",35-3041,"Food Servers, Nonrestaurant",food servers nonrestaurant
Dining room and cafeteria attendants and bartender helpers,73246,4513.0,35119,3976.0,38127,3735.0,52.1,4.3,25902,931,28472,2759,23785,1412,83.5,8.7,2022,0.07694911832137377,dining room and cafeteria attendants and bartender helpers,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,dining room and cafeteria attendants and bartender helpers
Dishwashers,91285,6794.0,71684,6239.0,19601,2497.0,21.5,2.6,26007,665,26381,677,23978,1987,90.9,7.8,2022,0.03955935867540712,dishwashers,35-9021.00,Dishwashers,35-9021,Dishwashers,dishwashers
Hosts and hostesses restaurant lounge and coffee shop,43548,4485.0,10790,2355.0,32758,3970.0,75.2,4.8,26295,1700,30323,3183,25477,1865,84,11.9,2022,0.06611323256410317,hosts and hostesses restaurant lounge and coffee shop,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",hosts and hostesses restaurant lounge and coffee shop
Food preparation and serving related workers all other,6844,1483.0,3598,1103.0,3246,1064.0,47.4,11.7,26950,1802,27485,6713,25294,5146,(X),(X),2022,0.006551179953082572,food preparation and serving related workers all other,35-9099.00,"Food Preparation and Serving Related Workers, All Other",35-9099,"Food Preparation and Serving Related Workers, All Other",food preparation and serving related workers all other
Building and Grounds Cleaning and Maintenance Occupations,3258466,40112.0,2164053,31338.0,1094413,22450.0,33.6,0.5,34080,316,37239,244,29141,396,78.3,1.2,2022,2.2087789605646817,building and grounds cleaning and maintenance occupations,,,,,
Firstline supervisors of housekeeping and janitorial workers,180417,7742.0,102480,5896.0,77937,5582.0,43.2,2.3,45454,1315,51616,1341,38773,1713,75.1,3.5,2022,0.1572949205186064,firstline supervisors of housekeeping and janitorial workers,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,firstline supervisors of housekeeping and janitorial workers
Firstline supervisors of landscaping lawn service and groundskeeping workers,132818,6507.0,122152,6248.0,10666,2039.0,8.0,1.5,49384,1613,49706,1483,46521,4379,93.6,8.9,2022,0.02152645883536005,firstline supervisors of landscaping lawn service and groundskeeping workers,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",firstline supervisors of landscaping lawn service and groundskeeping workers
Janitors and building cleaners,1438528,22814.0,1010792,18251.0,427736,13400.0,29.7,0.8,34389,414,37216,359,29297,484,78.7,1.5,2022,0.8632703353086036,building cleaning workers,,,,,
Janitors and building cleaners,1438528,22814.0,1010792,18251.0,427736,13400.0,29.7,0.8,34389,414,37216,359,29297,484,78.7,1.5,2022,0.8632703353086036,janitors and cleaners except maids and housekeeping cleaners,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",janitors and cleaners except maids and housekeeping cleaners
Maids and housekeeping cleaners,641801,15923.0,112470,5384.0,529331,14322.0,82.5,0.8,28253,621,32074,668,27215,381,84.9,1.9,2022,1.0683125803281428,maids and housekeeping cleaners,37-2012.00,Maids and Housekeeping Cleaners,37-2012,Maids and Housekeeping Cleaners,maids and housekeeping cleaners
Pest control workers,83839,5967.0,77939,6021.0,5900,1712.0,7.0,2.1,43601,2064,44103,2093,40791,1479,(X),(X),2022,0.011907566766231415,pest control workers,37-2021.00,Pest Control Workers,37-2021,Pest Control Workers,pest control workers
Landscaping and groundskeeping workers,693110,18209.0,654085,17371.0,39025,3422.0,5.6,0.5,33603,1002,34036,982,29617,1851,87,5.4,2022,0.0787614903478273,landscaping and groundskeeping workers,37-3011.00,Landscaping and Groundskeeping Workers,37-3011,Landscaping and Groundskeeping Workers,landscaping and groundskeeping workers
Tree trimmers and pruners,75766,5766.0,72872,5744.0,2894,1261.0,3.8,1.7,41539,1173,41514,1155,47500,21791,(X),(X),2022,0.005840762410419274,tree trimmers and pruners,37-3013.00,Tree Trimmers and Pruners,37-3013,Tree Trimmers and Pruners,tree trimmers and pruners
Other grounds maintenance workers,12187,1697.0,11263,1704.0,924,393.0,7.6,3.3,38576,3918,39916,3623,35720,8388,(X),(X),2022,0.0018648460494911573,other grounds maintenance workers,,,,,
Personal Care and Service Occupations,1848587,31277.0,529611,17795.0,1318976,22824.0,71.4,0.7,33756,545,40014,675,31713,237,79.3,1.4,2022,2.661999115772347,personal care and service occupations,,,,,
Supervisors of personal care and service workers,41393,4106.0,20413,2951.0,20980,3124.0,50.7,5.4,51622,1667,54841,3668,46389,4758,84.6,10.4,2022,0.0423425001280568,supervisors of personal care and service workers,,,,,
Animal trainers,37531,4092.0,15778,2678.0,21753,2675.0,58.0,4.7,35230,3935,40882,6076,31347,2179,76.7,12.2,2022,0.04390259319759864,animal trainers,39-2011.00,Animal Trainers,39-2011,Animal Trainers,animal trainers
Animal caretakers,160405,7490.0,44743,4061.0,115662,6512.0,72.1,2.2,32127,839,36633,1834,31277,738,85.4,4.5,2022,0.23343270971455224,animal caretakers,39-2021.00,Animal Caretakers,39-2021,Animal Caretakers,animal caretakers
Gambling services workers,61595,4285.0,37221,3468.0,24374,2758.0,39.6,3.6,46786,3204,49199,2784,42957,4145,87.3,9.6,2022,0.04919237836612281,gambling services workers,,,,,
Ushers lobby attendants and ticket takers,6272,1369.0,2789,1002.0,3483,1001.0,55.5,12.0,30673,4140,24911,11214,35054,7644,(X),(X),2022,0.007029500855387122,ushers lobby attendants and ticket takers,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",39-3031,"Ushers, Lobby Attendants, and Ticket Takers",ushers lobby attendants and ticket takers
Other entertainment attendants and related workers,60712,4523.0,35140,3595.0,25572,2961.0,42.1,3.9,33301,2111,33870,2830,32660,2801,96.4,11.4,2022,0.051610219889164366,other entertainment attendants and related workers,,,,,
Embalmers crematory operators and funeral attendants,11737,2267.0,7949,1734.0,3788,1412.0,32.3,9.3,40189,8256,42307,9020,31977,7430,(X),(X),2022,0.007645061510251627,embalmers and crematory operators,,,,,
Embalmers crematory operators and funeral attendants,11737,2267.0,7949,1734.0,3788,1412.0,32.3,9.3,40189,8256,42307,9020,31977,7430,(X),(X),2022,0.007645061510251627,funeral attendants,39-4021.00,Funeral Attendants,39-4021,Funeral Attendants,funeral attendants
Morticians undertakers and funeral arrangers,36592,3382.0,24063,2533.0,12529,2123.0,34.2,4.4,62682,2509,69717,5143,52754,4044,75.7,8.3,2022,0.025286424409171764,morticians undertakers and funeral arrangers,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",39-4031,"Morticians, Undertakers, and Funeral Arrangers",morticians undertakers and funeral arrangers
Barbers,83677,7500.0,67965,6921.0,15712,2270.0,18.8,2.6,31446,931,31947,1208,28297,4543,88.6,14.6,2022,0.031710455767970845,barbers,39-5011.00,Barbers,39-5011,Barbers,barbers
Hairdressers hairstylists and cosmetologists,389613,12540.0,42836,3941.0,346777,11545.0,89.0,0.9,35435,855,42387,2661,34470,1698,81.3,6.3,2022,0.6998763187277003,hairdressers hairstylists and cosmetologists,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",39-5012,"Hairdressers, Hairstylists, and Cosmetologists",hairdressers hairstylists and cosmetologists
Manicurists and pedicurists,166605,9576.0,38464,4471.0,128141,6975.0,76.9,1.9,30404,565,32855,2284,28284,1664,86.1,7.6,2022,0.25861822254095934,manicurists and pedicurists,39-5092.00,Manicurists and Pedicurists,39-5092,Manicurists and Pedicurists,manicurists and pedicurists
Skincare specialists,51760,4622.0,1527,1170.0,50233,4551.0,97.0,2.2,38826,2686,22116,16193,39295,2473,(X),(X),2022,0.10138183074035638,skincare specialists,39-5094.00,Skincare Specialists,39-5094,Skincare Specialists,skincare specialists
Other personal appearance workers,11158,2115.0,1144,790.0,10014,2023.0,89.7,6.8,31674,2099,41740,22024,30946,2095,(X),(X),2022,0.020210571796108714,miscellaneous personal appearance workers,,,,,
Baggage porters bellhops and concierges,62045,5080.0,46024,4242.0,16021,2590.0,25.8,3.5,38753,2249,42504,2905,34545,2164,81.3,6.9,2022,0.03233408934945652,baggage porters bellhops and concierges,,,,,
Tour and travel guides,18514,3278.0,11128,2538.0,7386,1975.0,39.9,8.3,41393,1919,41499,1053,39603,14969,(X),(X),2022,0.014906659005997497,tour and travel guides,,,,,
Childcare workers,391950,13555.0,18982,2609.0,372968,12624.0,95.2,0.6,27034,474,36302,7070,26820,442,73.9,14,2022,0.7527358240114914,childcare workers,39-9011.00,Childcare Workers,39-9011,Childcare Workers,childcare workers
Childcare workers,391950,13555.0,18982,2609.0,372968,12624.0,95.2,0.6,27034,474,36302,7070,26820,442,73.9,14,2022,0.7527358240114914,childcare workers,39-9011.01,Nannies,39-9011,Childcare Workers,childcare workers
Exercise trainers and group fitness instructors,89723,5329.0,48141,3757.0,41582,4037.0,46.3,3.2,40982,1162,41796,1749,40103,4169,95.9,10.7,2022,0.08392210869041267,exercise trainers and group fitness instructors,39-9031.00,Exercise Trainers and Group Fitness Instructors,39-9031,Exercise Trainers and Group Fitness Instructors,exercise trainers and group fitness instructors
Recreation workers,79705,5446.0,25277,2886.0,54428,4211.0,68.3,2.8,37839,1548,42696,2961,35189,1637,82.4,6.4,2022,0.10984831253431247,recreation workers,39-9032.00,Recreation Workers,39-9032,Recreation Workers,recreation workers
Residential advisors,26995,2986.0,11491,2001.0,15504,2055.0,57.4,5.2,36536,2145,37026,1819,35429,4539,95.7,11.8,2022,0.03129066358366981,residential advisors,39-9041.00,Residential Advisors,39-9041,Residential Advisors,residential advisors
Personal care and service workers all other,60605,6002.0,28536,4393.0,32069,3857.0,52.9,4.7,33727,3441,31877,954,36343,2376,114,7.5,2022,0.06472267095360598,personal care and service workers all other,39-9099.00,"Personal Care and Service Workers, All Other",39-9099,"Personal Care and Service Workers, All Other",personal care and service workers all other
Sales and Office Occupations,22008192,78559.0,9084640,50990.0,12923552,62711.0,58.7,0.2,47167,139,56483,367,42390,98,75,0.5,2022,26.082721745231108,sales and office occupations,,,,,
Sales and Related Occupations,9812069,50982.0,5706063,41483.0,4106006,37093.0,41.8,0.3,53543,299,63240,407,42808,392,67.7,0.8,2022,8.28687128602488,sales and related occupations,,,,,
FirstLine supervisors of retail sales workers,2487276,28014.0,1414992,21992.0,1072284,19168.0,43.1,0.6,51220,361,57730,863,43654,575,75.6,1.5,2022,2.164117512264693,firstline supervisors of retail sales workers,41-1011.00,First-Line Supervisors of Retail Sales Workers,41-1011,First-Line Supervisors of Retail Sales Workers,firstline supervisors of retail sales workers
FirstLine supervisors of nonretail sales workers,1008909,18909.0,632045,14055.0,376864,11258.0,37.4,0.8,70620,1021,75161,1204,63169,1366,84,2.4,2022,0.7605988545405147,firstline supervisors of nonretail sales workers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,41-1012,First-Line Supervisors of Non-Retail Sales Workers,firstline supervisors of nonretail sales workers
Cashiers,976641,21452.0,310156,10687.0,666485,17634.0,68.2,0.9,27174,247,30290,438,26362,267,87,1.6,2022,1.345121124778262,cashiers,41-2011.00,Cashiers,41-2011,Cashiers,cashiers
Counter and rental clerks,41478,4021.0,26360,3386.0,15118,2414.0,36.4,4.9,40551,2027,42288,3105,36658,2986,86.7,9.6,2022,0.030511626164726535,counter and rental clerks,41-2021.00,Counter and Rental Clerks,41-2021,Counter and Rental Clerks,counter and rental clerks
Parts salespersons,96452,6666.0,81980,6079.0,14472,2347.0,15.0,2.2,44241,2911,45276,2304,40616,3273,89.7,8.4,2022,0.029207848515406955,parts salespersons,41-2022.00,Parts Salespersons,41-2022,Parts Salespersons,parts salespersons
Retail salespersons,1647053,26542.0,1030492,18334.0,616561,16447.0,37.4,0.7,41498,376,47582,931,34094,877,71.7,2.2,2022,1.2443629276193913,retail salespersons,41-2031.00,Retail Salespersons,41-2031,Retail Salespersons,retail salespersons
Advertising sales agents,89469,6003.0,46972,4551.0,42497,3623.0,47.5,3.1,76977,3858,80735,6074,72974,5119,90.4,9.6,2022,0.08576879065500619,advertising sales agents,41-3011.00,Advertising Sales Agents,41-3011,Advertising Sales Agents,advertising sales agents
Insurance sales agents,502598,14312.0,248551,9728.0,254047,10139.0,50.5,1.4,59999,1590,76553,2070,50297,1101,65.7,2.5,2022,0.5127256973323377,insurance sales agents,41-3021.00,Insurance Sales Agents,41-3021,Insurance Sales Agents,insurance sales agents
Securities commodities and financial services sales agents,206990,9478.0,152236,8511.0,54754,4463.0,26.5,1.9,111951,10343,136388,21958,75096,7077,55.1,10.5,2022,0.11050625605393814,securities commodities and financial services sales agents,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",41-3031,"Securities, Commodities, and Financial Services Sales Agents",securities commodities and financial services sales agents
Travel agents,38810,3926.0,8596,1682.0,30214,3306.0,77.9,3.6,46454,1877,46293,2066,46567,2892,100.6,7.7,2022,0.060978851233036604,travel agents,41-3041.00,Travel Agents,41-3041,Travel Agents,travel agents
Sales representatives of services except advertising insurance financial services and travel,596182,14347.0,425701,12497.0,170481,7322.0,28.6,1.1,83377,2194,90555,2307,70422,1793,77.8,2.8,2022,0.3440701508260844,sales representatives of services except advertising insurance financial services and travel,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",sales representatives of services except advertising insurance financial services and travel
Sales representatives wholesale and manufacturing,1058819,19659.0,779159,17122.0,279660,10978.0,26.4,0.9,78987,1454,82319,1231,66587,1663,80.9,2.3,2022,0.5644186647193692,sales representatives wholesale and manufacturing,,,,,
Models demonstrators and product promoters,10302,1972.0,3684,1023.0,6618,1577.0,64.2,7.9,41621,9930,48933,17904,40143,13480,(X),(X),2022,0.013356657094732122,models demonstrators and product promoters,,,,,
Real estate brokers and sales agents,655760,14371.0,318831,11192.0,336929,9238.0,51.4,1.1,77013,1798,84043,2752,68174,3165,81.1,4.6,2022,0.6800007733863702,real estate brokers and sales agents,,,,,
