Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title,Standardized_Occupation_Name
Administrative services managers,55365,4357.0,15535,2308.0,39830,3525.0,71.9,3.4,69447,5656,86262,4603,64527,2969,74.8,5.3,2022,0.08038616683033853,administrative services managers,11-3012.00,Administrative Services Managers,11-3012,Administrative Services Managers,administrative services managers
Facilities managers,112151,5739.0,89784,5193.0,22367,2520.0,19.9,2.0,75700,2618,79014,2401,63293,3541,80.1,5.4,2022,0.04514178743394883,facilities managers,11-3013.00,Facilities Managers,11-3013,Facilities Managers,facilities managers
Facilities managers,112151,5739.0,89784,5193.0,22367,2520.0,19.9,2.0,75700,2618,79014,2401,63293,3541,80.1,5.4,2022,0.04514178743394883,facilities managers,11-3013.01,Security Managers,11-3013,Facilities Managers,facilities managers
Computer and information systems managers,608886,14416.0,443785,11971.0,165101,6826.0,27.1,0.9,127142,1354,131824,2317,113908,3201,86.4,3.1,2022,0.3332120645206056,computer and information systems managers,11-3021.00,Computer and Information Systems Managers,11-3021,Computer and Information Systems Managers,computer and information systems managers
Financial managers,1369774,24186.0,619758,16341.0,750016,16856.0,54.8,0.8,92533,1241,115793,2078,77072,1423,66.6,1.7,2022,1.51370603317658,financial managers,11-3031.00,Financial Managers,11-3031,Financial Managers,financial managers
Financial managers,1369774,24186.0,619758,16341.0,750016,16856.0,54.8,0.8,92533,1241,115793,2078,77072,1423,66.6,1.7,2022,1.51370603317658,financial managers,11-3031.01,Treasurers and Controllers,11-3031,Financial Managers,financial managers
Financial managers,1369774,24186.0,619758,16341.0,750016,16856.0,54.8,0.8,92533,1241,115793,2078,77072,1423,66.6,1.7,2022,1.51370603317658,financial managers,11-3031.03,Investment Fund Managers,11-3031,Financial Managers,financial managers
Compensation and benefits managers,19666,2546.0,4057,797.0,15609,2398.0,79.4,4.1,107377,10881,140212,21849,104067,11228,(X),(X),2022,0.031502577907475626,compensation and benefits managers,11-3111.00,Compensation and Benefits Managers,11-3111,Compensation and Benefits Managers,compensation and benefits managers
Human resources managers,272528,9698.0,67363,4948.0,205165,8135.0,75.3,1.5,96232,1926,109596,9609,92335,2076,84.3,7.5,2022,0.41407049755828285,human resources managers,11-3121.00,Human Resources Managers,11-3121,Human Resources Managers,human resources managers
Training and development managers,72114,5423.0,29597,3131.0,42517,4114.0,59.0,3.3,85456,4546,91723,5268,78068,6108,85.1,8.3,2022,0.08580915528811205,training and development managers,11-3131.00,Training and Development Managers,11-3131,Training and Development Managers,training and development managers
Industrial production managers,289682,9049.0,221926,7716.0,67756,4615.0,23.4,1.4,90009,2232,91286,1417,81724,3192,89.5,3.6,2022,0.1367473040360637,industrial production managers,11-3051.00,Industrial Production Managers,11-3051,Industrial Production Managers,industrial production managers
Industrial production managers,289682,9049.0,221926,7716.0,67756,4615.0,23.4,1.4,90009,2232,91286,1417,81724,3192,89.5,3.6,2022,0.1367473040360637,industrial production managers,11-3051.01,Quality Control Systems Managers,11-3051,Industrial Production Managers,industrial production managers
Industrial production managers,289682,9049.0,221926,7716.0,67756,4615.0,23.4,1.4,90009,2232,91286,1417,81724,3192,89.5,3.6,2022,0.1367473040360637,industrial production managers,11-3051.02,Geothermal Production Managers,11-3051,Industrial Production Managers,industrial production managers
Industrial production managers,289682,9049.0,221926,7716.0,67756,4615.0,23.4,1.4,90009,2232,91286,1417,81724,3192,89.5,3.6,2022,0.1367473040360637,industrial production managers,11-3051.03,Biofuels Production Managers,11-3051,Industrial Production Managers,industrial production managers
