Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,Major Group,Minor Group,Broad Group,Detailed Occupation,Occupation Name,Standardized_Occupation_Name,Combined Group,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title
Human resources managers,272528,9698,67363,4948,205165,8135,75.3,1.5,96232,1926,109596,9609,92335,2076,84.3,7.5,2022,0.41407049755828285,human resources managers,,,,Nov-21,Human Resources Managers,human resources managers,Nov-21,11-3121.00,Human Resources Managers,Nov-21,Human Resources Managers
Training and development managers,72114,5423,29597,3131,42517,4114,59,3.3,85456,4546,91723,5268,78068,6108,85.1,8.3,2022,0.085809155,training and development managers,,,Nov-30,,Training and Development Managers,training and development managers,Nov-30,,,,
Training and development managers,72114,5423,29597,3131,42517,4114,59,3.3,85456,4546,91723,5268,78068,6108,85.1,8.3,2022,0.085809155,training and development managers,,,,Nov-31,Training and Development Managers,training and development managers,Nov-31,11-3131.00,Training and Development Managers,Nov-31,Training and Development Managers
Industrial production managers,289682,9049,221926,7716,67756,4615,23.4,1.4,90009,2232,91286,1417,81724,3192,89.5,3.6,2022,0.1367473040360637,industrial production managers,,,Nov-50,,Industrial Production Managers,industrial production managers,Nov-50,,,,
Industrial production managers,289682,9049,221926,7716,67756,4615,23.4,1.4,90009,2232,91286,1417,81724,3192,89.5,3.6,2022,0.1367473040360637,industrial production managers,,,,Nov-51,Industrial Production Managers,industrial production managers,Nov-51,11-3051.00,Industrial Production Managers,Nov-51,Industrial Production Managers
Industrial production managers,289682,9049,221926,7716,67756,4615,23.4,1.4,90009,2232,91286,1417,81724,3192,89.5,3.6,2022,0.1367473040360637,industrial production managers,,,,Nov-51,Industrial Production Managers,industrial production managers,Nov-51,11-3051.01,Quality Control Systems Managers,Nov-51,Industrial Production Managers
Industrial production managers,289682,9049,221926,7716,67756,4615,23.4,1.4,90009,2232,91286,1417,81724,3192,89.5,3.6,2022,0.1367473040360637,industrial production managers,,,,Nov-51,Industrial Production Managers,industrial production managers,Nov-51,11-3051.02,Geothermal Production Managers,Nov-51,Industrial Production Managers
Industrial production managers,289682,9049,221926,7716,67756,4615,23.4,1.4,90009,2232,91286,1417,81724,3192,89.5,3.6,2022,0.1367473040360637,industrial production managers,,,,Nov-51,Industrial Production Managers,industrial production managers,Nov-51,11-3051.03,Biofuels Production Managers,Nov-51,Industrial Production Managers
Industrial production managers,289682,9049,221926,7716,67756,4615,23.4,1.4,90009,2232,91286,1417,81724,3192,89.5,3.6,2022,0.1367473040360637,industrial production managers,,,,Nov-51,Industrial Production Managers,industrial production managers,Nov-51,11-3051.04,Biomass Power Plant Managers,Nov-51,Industrial Production Managers
Industrial production managers,289682,9049,221926,7716,67756,4615,23.4,1.4,90009,2232,91286,1417,81724,3192,89.5,3.6,2022,0.1367473040360637,industrial production managers,,,,Nov-51,Industrial Production Managers,industrial production managers,Nov-51,11-3051.06,Hydroelectric Production Managers,Nov-51,Industrial Production Managers
Purchasing managers,234722,9374,117357,6441,117365,6464,50,1.9,87491,2595,95969,2394,81442,1876,84.9,2.6,2022,0.23686975822351697,purchasing managers,,,Nov-60,,Purchasing Managers,purchasing managers,Nov-60,,,,
Purchasing managers,234722,9374,117357,6441,117365,6464,50,1.9,87491,2595,95969,2394,81442,1876,84.9,2.6,2022,0.23686975822351697,purchasing managers,,,,Nov-61,Purchasing Managers,purchasing managers,Nov-61,11-3061.00,Purchasing Managers,Nov-61,Purchasing Managers
Transportation storage and distribution managers,304688,10894,239844,9849,64844,4358,21.3,1.3,64609,1019,65314,1403,61821,3153,94.7,5.5,2022,0.13087021345584915,transportation storage and distribution managers,,,Nov-70,,"Transportation, Storage, and Distribution Managers",transportation storage and distribution managers,Nov-70,,,,
Transportation storage and distribution managers,304688,10894,239844,9849,64844,4358,21.3,1.3,64609,1019,65314,1403,61821,3153,94.7,5.5,2022,0.13087021345584915,transportation storage and distribution managers,,,,Nov-71,"Transportation, Storage, and Distribution Managers",transportation storage and distribution managers,Nov-71,11-3071.00,"Transportation, Storage, and Distribution Managers",Nov-71,"Transportation, Storage, and Distribution Managers"
Transportation storage and distribution managers,304688,10894,239844,9849,64844,4358,21.3,1.3,64609,1019,65314,1403,61821,3153,94.7,5.5,2022,0.13087021345584915,transportation storage and distribution managers,,,,Nov-71,"Transportation, Storage, and Distribution Managers",transportation storage and distribution managers,Nov-71,11-3071.04,Supply Chain Managers,Nov-71,"Transportation, Storage, and Distribution Managers"
