,Occupation Name,Exposure Score,Exposure Score * 100,Occupational Category,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Median_Earnings_Estimate,Similarity Score
476,Operations Research Analysts,0.0001328315908701875,0.013283159087018749,Operations research analysts,49.7,2.1,87.3,84185,1.0000000000000002
477,Hydrologists,0.000132697394671439,0.0132697394671439,Geoscientists and hydrologists except geographers,20.9,2.9,100.5,92644,0.5316054210531366
478,"Physicians, Pathologists",0.0001325154563304443,0.013251545633044431,Other physicians,39.8,1.1,(X),206401,0.539394812761552
479,Agricultural Equipment Operators,0.0001324452066833037,0.01324452066833037,Agricultural engineers,0.8,1.3,-,-,0.5590200395545406
480,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.0001322933959030258,0.013229339590302579,Textile machine setters operators and tenders,44.0,9.6,(X),31595,0.6991424947357718
481,Mechanical Engineers,0.0001321948808690863,0.013219488086908631,Mechanical engineers,9.3,0.8,95.2,93962,1.0000000000000002
482,Computer and Information Systems Managers,0.0001318234355442758,0.01318234355442758,Computer and information systems managers,27.1,0.9,86.4,113908,1.0000000000000002
483,Power Plant Operators,0.0001317950935253149,0.013179509352531489,Power plant operators distributors and dispatchers,7.8,1.9,(X),113352,0.6711066095124298
484,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.0001317126961638621,0.01317126961638621,Firstline supervisors of landscaping lawn service and groundskeeping workers,8.0,1.5,93.6,46521,0.8356137844766509
485,Appraisers and Assessors of Real Estate,0.0001314080866521455,0.013140808665214549,Property appraisers and assessors,34.1,3.0,77.7,62466,0.5747947247729626
486,Construction Laborers,0.0001313668459897763,0.01313668459897763,Construction laborers,3.5,0.3,87.1,35888,1.0000000000000002
487,Human Factors Engineers and Ergonomists,0.0001313271390393485,0.013132713903934848,Human resources workers,74.4,0.9,88,67046,0.2932439369134843
488,Marketing Managers,0.0001311490035291364,0.01311490035291364,Marketing managers,61.1,1.2,80.9,85327,1.0
489,"Special Education Teachers, Preschool",0.0001311233466102387,0.013112334661023869,Special education teachers,85.3,1.2,95.8,58527,0.806149729690536
490,Audiologists,0.0001307559856325311,0.013075598563253112,Audiologists,85.2,4.6,(X),86087,1.0
491,Surveying and Mapping Technicians,0.0001306113142776122,0.013061131427761219,Surveying and mapping technicians,8.5,2.1,(X),46909,1.0
492,Computer Programmers,0.0001306030423635021,0.01306030423635021,Computer programmers,17.6,1.4,91.1,95305,1.0
493,Roofers,0.000130264178057907,0.013026417805790702,Roofers,2.7,0.9,(X),26437,1.0
494,"Title Examiners, Abstractors, and Searchers",0.0001299515544114284,0.012995155441142839,Title examiners abstractors and searchers,75.8,3.0,62.7,52229,1.0
495,Materials Engineers,0.0001299445124175205,0.01299445124175205,Materials engineers,15.3,3.0,95.9,91945,1.0
496,"Ushers, Lobby Attendants, and Ticket Takers",0.0001299170806822854,0.01299170806822854,Ushers lobby attendants and ticket takers,55.5,12.0,(X),35054,1.0
497,Chemical Engineers,0.0001296959226406363,0.012969592264063629,Chemical engineers,19.5,2.3,98.4,112291,1.0
498,"Environmental Science and Protection Technicians, Including Health",0.0001296482526601885,0.01296482526601885,Environmental scientists and specialists including health,41.2,4.8,96.9,73856,0.5972208160575369
499,Broadcast Announcers and Radio Disc Jockeys,0.0001296089960405771,0.012960899604057712,Broadcast announcers and radio disc jockeys,33.4,7.5,(X),60047,1.0000000000000002
500,Tutors,0.0001295423285637791,0.012954232856377909,Tutors,68.1,6.2,135.4,36227,1.0
501,"Arbitrators, Mediators, and Conciliators",0.0001294979766962306,0.01294979766962306,Molders and molding machine setters operators and tenders metal and plastic,13.9,3.3,(X),36238,0.043881189047234766
502,Transportation Inspectors,0.0001290724773714724,0.01290724773714724,Transportation inspectors,14.1,3.4,(X),50419,1.0
503,Security and Fire Alarm Systems Installers,0.0001288198527576094,0.012881985275760939,Security and fire alarm systems installers,3.1,1.5,(X),42956,1.0
504,Occupational Health and Safety Technicians,0.00012879589786913,0.012879589786913,Occupational health and safety specialists and technicians,33.2,3.0,89.9,68057,0.9210292400851027
505,Biochemists and Biophysicists,0.0001282931855737581,0.01282931855737581,Molders and molding machine setters operators and tenders metal and plastic,13.9,3.3,(X),36238,0.05351612466019237
506,Lawyers,0.0001282896028964606,0.012828960289646061,Lawyers,38.6,0.9,83,134805,1.0
507,Adapted Physical Education Specialists,0.0001281653106604795,0.012816531066047951,Physical therapists,57.8,1.7,88.4,82476,0.37907695019726523
508,Occupational Therapy Aides,0.00012775432159016,0.012775432159015998,Occupational therapy assistants and aides,79.0,4.2,(X),41946,0.9116196333640443
509,Electrical and Electronic Equipment Assemblers,0.0001276945633125874,0.012769456331258741,Electrical and electronic engineering technologists and technicians,10.0,2.4,(X),49612,0.5571276010194204
510,Materials Scientists,0.000127687727654201,0.0127687727654201,Chemists and materials scientists,38.2,2.7,77.2,70382,0.7285520579403222
511,Chemical Technicians,0.0001271835021272223,0.012718350212722229,Chemical technicians,33.9,4.1,90.1,55475,1.0
512,Clinical Data Managers,0.0001270611275264508,0.01270611275264508,Data entry keyers,75.1,1.7,90.3,38204,0.37414477778268707
513,"Painters, Construction and Maintenance",0.0001269899484408003,0.01269899484408003,Painters and paperhangers,7.3,1.0,78.7,31832,0.4621866106604174
514,"Secondary School Teachers, Except Special and Career/Technical Education",0.0001269266439518207,0.01269266439518207,Secondary school teachers,56.2,0.9,92.5,61448,0.5998504909083405
515,Medical and Health Services Managers,0.0001266353858031511,0.012663538580315109,Medical and health services managers,72.1,0.8,85.7,78812,1.0
516,Executive Secretaries and Executive Administrative Assistants,0.0001264195299135315,0.01264195299135315,Executive secretaries and executive administrative assistants,94.3,0.8,105.7,66750,1.0000000000000002
517,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.0001262777633036364,0.012627776330363641,Construction laborers,3.5,0.3,87.1,35888,0.2845290895289777
518,"Laborers and Freight, Stock, and Material Movers, Hand",0.0001262565290370044,0.01262565290370044,Laborers and freight stock and material movers hand,22.1,0.6,85.7,32812,1.0
519,Athletic Trainers,0.00012622074574978,0.012622074574978001,Animal trainers,58.0,4.7,76.7,31347,0.48472059481185026
520,"Claims Adjusters, Examiners, and Investigators",0.0001261395171941495,0.012613951719414951,Claims adjusters appraisers examiners and investigators,60.3,1.8,77.9,56033,0.8876531925365195
521,Recreation Workers,0.0001260663323521819,0.01260663323521819,Recreation workers,68.3,2.8,82.4,35189,1.0
522,School Psychologists,0.0001259006771580884,0.01259006771580884,School psychologists,86.8,3.0,(X),80587,1.0
523,Probation Officers and Correctional Treatment Specialists,0.0001258961947884722,0.01258961947884722,Probation officers and correctional treatment specialists,57.8,3.2,91.8,58035,1.0
524,"Special Education Teachers, Middle School",0.0001258305739144805,0.012583057391448051,Special education teachers,85.3,1.2,95.8,58527,0.7220151405859051
525,Anesthesiologist Assistants,0.0001255908599663965,0.01255908599663965,Medical assistants,91.2,0.7,91.7,36930,0.35219974010980926
526,"Rock Splitters, Quarry",0.000125549564799147,0.0125549564799147,Total,43.5,0.1,82,51400,0.0
527,Fallers,0.0001254946209913861,0.012549462099138611,Total,43.5,0.1,82,51400,0.0
528,Solar Energy Systems Engineers,0.0001253909459844455,0.01253909459844455,Solar photovoltaic installers,2.2,2.6,-,-,0.32627195433759004
529,Bioinformatics Technicians,0.0001253146116951494,0.012531461169514941,Dietetic technicians and ophthalmic medical technicians,79.3,4.2,(X),34290,0.2627629127089599
530,Surgical Technologists,0.0001251605648541018,0.01251605648541018,Surgical technologists,75.3,3.0,84.5,50748,1.0000000000000002
531,Foresters,0.000124850651191055,0.0124850651191055,Conservation scientists and foresters,33.9,5.5,85,59710,0.6537237079315087
532,Geothermal Production Managers,0.0001246919296490378,0.01246919296490378,Industrial production managers,23.4,1.4,89.5,81724,0.5446651852105462
533,Physical Therapist Assistants,0.0001244658010226921,0.01244658010226921,Physical therapist assistants and aides,63.8,3.5,98.1,50768,0.8630870054743307
534,"Special Education Teachers, Secondary School",0.0001242917970038141,0.012429179700381411,Secondary school teachers,56.2,0.9,92.5,61448,0.7697579383205437
535,Diagnostic Medical Sonographers,0.000124260856541095,0.0124260856541095,Diagnostic medical sonographers,74.9,2.6,76.8,77120,1.0
536,Industrial-Organizational Psychologists,0.0001242453481065678,0.01242453481065678,Other psychologists,71.1,2.3,84.3,89723,0.46932188034004735
537,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0.0001242259351678914,0.012422593516789138,Electrical and electronics engineers,8.2,0.8,91.2,103023,0.4749299150379065
538,Media Programming Directors,0.0001241069266179772,0.01241069266179772,Producers and directors,38.0,2.2,94.4,78363,0.30621495397499626
539,"Middle School Teachers, Except Special and Career/Technical Education",0.0001239736896323477,0.012397368963234769,Special education teachers,85.3,1.2,95.8,58527,0.5653591779732214
540,Preventive Medicine Physicians,0.0001236831701617205,0.012368317016172048,Emergency medicine physicians,26.4,5.8,(X),"250,000+",0.5997158303784174
541,Subway and Streetcar Operators,0.0001235341857564675,0.01235341857564675,Locomotive engineers and operators,2.6,1.7,(X),58599,0.14645933167301647
542,Automotive and Watercraft Service Attendants,0.0001234552708329109,0.012345527083291091,Automotive service technicians and mechanics,1.6,0.3,91.9,43097,0.4907579929305686
543,Construction Managers,0.000123124494798631,0.0123124494798631,Construction managers,8.4,0.5,89,75350,1.0
544,Hydroelectric Plant Technicians,0.0001230442740295186,0.01230442740295186,Miscellaneous plant and system operators,6.6,2.2,(X),90059,0.2946803033577988
545,Textile Bleaching and Dyeing Machine Operators and Tenders,0.0001226899400163443,0.012268994001634429,Textile machine setters operators and tenders,44.0,9.6,(X),31595,0.5927490903899886
546,Geothermal Technicians,0.0001223046258849906,0.01223046258849906,Dietetic technicians and ophthalmic medical technicians,79.3,4.2,(X),34290,0.2627629127089599
547,"Career/Technical Education Teachers, Postsecondary",0.0001222549797930293,0.012225497979302929,Postsecondary teachers,48.1,0.8,84.8,75212,0.5355993847268041
548,Sewing Machine Operators,0.0001219565230838415,0.01219565230838415,Sewing machine operators,68.5,2.9,96.4,31883,1.0
549,Security Guards,0.0001217001885919209,0.01217001885919209,Security guards and gambling surveillance officers,22.2,1.0,90,36032,0.6376582131903225
550,Private Detectives and Investigators,0.0001212946261075739,0.01212946261075739,Private detectives and investigators,49.0,2.7,75.4,55552,1.0000000000000002
551,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0.0001209393737435384,0.01209393737435384,Forming machine setters operators and tenders metal and plastic,14.5,4.3,(X),43043,0.7133317526688008
552,Civil Engineers,0.0001208180165079322,0.01208180165079322,Civil engineers,16.4,1.0,91.4,92430,1.0
553,Veterinary Technologists and Technicians,0.0001207092882664844,0.01207092882664844,Veterinary technologists and technicians,89.5,1.7,87.9,36111,1.0
554,Social Science Research Assistants,0.0001202617688689483,0.012026176886894831,Social science research assistants,55.2,9.0,(X),48654,1.0
555,Chemists,0.000120261754440762,0.0120261754440762,Chemists and materials scientists,38.2,2.7,77.2,70382,0.6659633417003938
556,Nursing Assistants,0.0001201818733089732,0.01201818733089732,Nursing assistants,87.0,0.7,88,33341,1.0
557,Mental Health Counselors,0.0001198277169941907,0.01198277169941907,Mental health counselors,75.5,2.5,95.4,56376,1.0000000000000002
558,Conservation Scientists,0.0001196257438517953,0.011962574385179529,Conservation scientists and foresters,33.9,5.5,85,59710,0.7401869701840476
559,Validation Engineers,0.0001193434910316674,0.011934349103166741,Sales engineers,9.7,2.0,(X),113766,0.30253970534307184
560,Pharmacists,0.0001187401121041649,0.01187401121041649,Pharmacists,56.8,1.5,94,128132,1.0
561,Art Therapists,0.0001186492259035292,0.01186492259035292,Physical therapists,57.8,1.7,88.4,82476,0.4074681288403012
562,Historians,0.0001186257400541951,0.01186257400541951,Total,43.5,0.1,82,51400,0.0
563,Petroleum Engineers,0.0001182428764157028,0.01182428764157028,Petroleum engineers,9.6,3.4,(X),153838,1.0
564,Wind Energy Engineers,0.0001181811019208361,0.01181811019208361,Wind turbine service technicians,0.1,0.3,-,-,0.3652741712738691
565,First-Line Supervisors of Production and Operating Workers,0.0001179764017795968,0.01179764017795968,Firstline supervisors of production and operating workers,21.2,0.9,73.8,48658,0.7622849554306959
566,Music Therapists,0.0001173119310154169,0.01173119310154169,Music directors and composers,24.0,4.7,(X),53399,0.45393943378366375
567,Financial Quantitative Analysts,0.0001171961364109932,0.01171961364109932,Financial and investment analysts,41.8,1.4,84.5,86475,0.5025135105896421
568,Energy Auditors,0.0001168353214325547,0.01168353214325547,Accountants and auditors,58.0,0.8,81.4,74083,0.5073007288889578
569,Acute Care Nurses,0.0001163318109492258,0.01163318109492258,Registered nurses,86.2,0.4,91.4,77582,0.34724342831929605
570,"Farmers, Ranchers, and Other Agricultural Managers",0.0001162606514360049,0.01162606514360049,Farmers ranchers and other agricultural managers,13.2,0.7,71.6,37170,1.0
571,"Kindergarten Teachers, Except Special Education",0.0001161572463474887,0.01161572463474887,Special education teachers,85.3,1.2,95.8,58527,0.7360716800751969
572,Logistics Engineers,0.0001158053333023323,0.01158053333023323,Sales engineers,9.7,2.0,(X),113766,0.3154945226266798
573,Loss Prevention Managers,0.0001152896395032019,0.01152896395032019,Firstline supervisors of firefighting and prevention workers,3.7,1.5,(X),100436,0.2897665441035392
574,Physical Therapists,0.0001150847258767339,0.01150847258767339,Physical therapists,57.8,1.7,88.4,82476,1.0
575,Computer Hardware Engineers,0.0001150787805045108,0.01150787805045108,Computer hardware engineers,13.0,2.5,(X),107098,1.0
576,Solar Photovoltaic Installers,0.0001149769411974711,0.011497694119747109,Solar photovoltaic installers,2.2,2.6,-,-,1.0
577,Nuclear Engineers,0.0001144266366431451,0.01144266366431451,Nuclear engineers,7.1,5.1,(X),86993,1.0000000000000002
578,Agricultural Technicians,0.0001130189471808192,0.01130189471808192,Agricultural engineers,0.8,1.3,-,-,0.6661868989807903
579,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.0001122491994461667,0.01122491994461667,Forming machine setters operators and tenders metal and plastic,14.5,4.3,(X),43043,0.6576795745285096
580,"Camera Operators, Television, Video, and Film",0.000110813353307024,0.0110813353307024,Television video and film camera operators and editors,19.2,2.5,103.7,64202,0.9030239980041626
581,"Meat, Poultry, and Fish Cutters and Trimmers",0.0001102617289986872,0.01102617289986872,Butchers and other meat poultry and fish processing workers,20.9,1.7,84,34280,0.6107936796728799
582,Network and Computer Systems Administrators,0.0001096916043685101,0.01096916043685101,Network and computer systems administrators,16.8,1.3,91.6,78060,1.0000000000000002
583,Operating Engineers and Other Construction Equipment Operators,0.0001096475559419396,0.01096475559419396,Construction equipment operators,2.6,0.5,85.7,46865,0.6594816906796502
584,Physical Medicine and Rehabilitation Physicians,0.0001094870728486085,0.01094870728486085,Emergency medicine physicians,26.4,5.8,(X),"250,000+",0.5482138670753336
585,Neurologists,0.0001092920297900248,0.01092920297900248,Total,43.5,0.1,82,51400,0.0
586,Business Continuity Planners,0.0001088404377271077,0.01088404377271077,Business operations specialists all other,56.3,1.7,74.4,62437,0.2936918206098666
587,Advertising and Promotions Managers,0.0001087949931441388,0.01087949931441388,Advertising and promotions managers,55.7,3.7,71.9,78248,1.0
588,Computer Network Architects,0.0001086109318858006,0.01086109318858006,Computer network architects,9.9,1.7,95.8,101285,1.0
589,"Education Administrators, Kindergarten through Secondary",0.0001081176151488408,0.01081176151488408,Education and childcare administrators,64.4,0.9,80.1,73150,0.41228141597897483
590,Midwives,0.0001079474927464584,0.01079474927464584,Nurse midwives,100.0,3.5,-,127540,0.7435376765152704
591,Instructional Coordinators,0.0001079095328667883,0.01079095328667883,Total,43.5,0.1,82,51400,0.0
592,Mechanical Engineering Technologists and Technicians,0.000107542645439813,0.0107542645439813,Electrical and electronic engineering technologists and technicians,10.0,2.4,(X),49612,0.5742782975061688
593,Air Traffic Controllers,0.0001073139809809153,0.01073139809809153,Air traffic controllers and airfield operations specialists,20.4,4.3,(X),102283,0.7487819208791132
594,Water/Wastewater Engineers,0.0001070764444913858,0.01070764444913858,Water and wastewater treatment plant and system operators,3.8,1.0,(X),58317,0.5679452801033958
595,Web Administrators,0.0001063051816371043,0.010630518163710431,Web developers,26.5,2.9,92.6,76955,0.5178986609219294
596,Models,0.0001061582629953374,0.01061582629953374,Models demonstrators and product promoters,64.2,7.9,(X),40143,0.5012948675020722
597,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0.0001054177546169512,0.01054177546169512,Forming machine setters operators and tenders metal and plastic,14.5,4.3,(X),43043,0.7133317526688008
598,"Credit Authorizers, Checkers, and Clerks",0.0001048403391358358,0.010484033913583579,Credit authorizers checkers and clerks,69.6,4.9,73.4,42936,1.0000000000000002
599,Computer Systems Engineers/Architects,0.000104471291273359,0.0104471291273359,Computer systems analysts,40.1,1.2,89.1,82464,0.5982948085731168
600,Document Management Specialists,0.0001043836258852613,0.01043836258852613,Project management specialists,45.1,1.0,87,88226,0.5132021607538426
601,Postal Service Clerks,0.0001037190547074676,0.01037190547074676,Postal service clerks,52.9,2.6,84.2,52300,1.0000000000000002
602,Flight Attendants,0.0001019067529580932,0.01019067529580932,Flight attendants,71.2,3.9,85.6,51583,1.0
603,Counter and Rental Clerks,0.0001017636356590839,0.01017636356590839,Counter and rental clerks,36.4,4.9,86.7,36658,1.0000000000000002
604,Baggage Porters and Bellhops,0.0001015382864787067,0.01015382864787067,Baggage porters bellhops and concierges,25.8,3.5,81.3,34545,0.8680844600060165
605,Obstetricians and Gynecologists,0.0001012717762251577,0.010127177622515771,Molders and molding machine setters operators and tenders metal and plastic,13.9,3.3,(X),36238,0.05351612466019237
606,Natural Sciences Managers,0.000101036393414381,0.0101036393414381,Natural sciences managers,64.1,4.5,86.4,77602,1.0000000000000002
607,Automotive Engineers,0.0001007358271501701,0.01007358271501701,Automotive service technicians and mechanics,1.6,0.3,91.9,43097,0.49047350248330984
608,Butchers and Meat Cutters,0.0001007111390873069,0.010071113908730691,Butchers and other meat poultry and fish processing workers,20.9,1.7,84,34280,0.5270012496008369
609,Passenger Attendants,0.0001005117372299001,0.01005117372299001,Passenger attendants,56.4,7.8,(X),30808,1.0
610,Telecommunications Engineering Specialists,0.0001001745904161793,0.01001745904161793,Telecommunications line installers and repairers,3.2,1.3,(X),57167,0.41436701047828495
611,"Court, Municipal, and License Clerks",9.997367174307595e-05,0.009997367174307594,Court municipal and license clerks,82.9,2.3,82.5,43050,1.0000000000000002
612,Physician Assistants,9.985125321350845e-05,0.009985125321350844,Physician assistants,64.0,2.3,85.5,115573,1.0
613,Industrial Machinery Mechanics,9.917531051678431e-05,0.009917531051678431,Industrial and refractory machinery mechanics,4.1,0.7,82.3,51370,0.80741804186752
614,Industrial Engineers,9.834407619214762e-05,0.009834407619214763,Industrial engineers including health and safety,23.6,1.5,92.2,86967,0.5640185464282423
615,"Medical Scientists, Except Epidemiologists",9.761730526022755e-05,0.009761730526022755,Medical scientists,56.8,2.5,92.6,81833,0.6443687213588188
616,Economists,9.73995896793169e-05,0.00973995896793169,Economists,39.3,4.6,83.5,119646,1.0
617,Community Health Workers,9.736983134664769e-05,0.009736983134664768,Social and community service managers,70.7,1.1,85.8,62101,0.43672352193848735
618,Orthoptists,9.712550529777591e-05,0.009712550529777592,Total,43.5,0.1,82,51400,0.0
619,Helpers--Production Workers,9.652525969531887e-05,0.009652525969531887,Other production workers,28.7,0.9,78.5,35137,0.6455765332412973
620,"Educational, Guidance, and Career Counselors and Advisors",9.596439325986265e-05,0.009596439325986266,Educational guidance and career counselors and advisors,76.0,1.5,97.4,58479,1.0
621,Biofuels/Biodiesel Technology and Product Development Managers,9.589338291734083e-05,0.009589338291734082,Training and development managers,59.0,3.3,85.1,78068,0.3562883599204365
622,Crossing Guards and Flaggers,9.562368980490985e-05,0.009562368980490985,Crossing guards and flaggers,32.3,7.4,(X),32354,1.0000000000000004
623,"Meter Readers, Utilities",9.55039300114619e-05,0.00955039300114619,Meter readers utilities,10.3,4.0,(X),36174,1.0
624,Telephone Operators,9.517071412243856e-05,0.009517071412243856,Telephone operators,61.1,8.9,(X),35736,1.0000000000000002
625,Mathematicians,9.513101665252499e-05,0.009513101665252498,Mathematicians,24.8,12.4,(X),119472,1.0
626,"Eligibility Interviewers, Government Programs",9.510902408295046e-05,0.009510902408295047,Eligibility interviewers government programs,80.1,2.4,79.7,48354,1.0000000000000002
627,"Administrative Law Judges, Adjudicators, and Hearing Officers",9.434172008486692e-05,0.009434172008486692,Judicial law clerks,78.5,5.3,(X),57254,0.24987704654811824
628,"Cooks, Private Household",9.43297682834292e-05,0.00943297682834292,Cooks,38.1,1.0,86.2,26278,0.5174900367786466
629,"Morticians, Undertakers, and Funeral Arrangers",9.428491149844697e-05,0.009428491149844698,Morticians undertakers and funeral arrangers,34.2,4.4,75.7,52754,1.0000000000000002
630,First-Line Supervisors of Retail Sales Workers,9.379240134337817e-05,0.009379240134337817,FirstLine supervisors of retail sales workers,43.1,0.6,75.6,43654,0.727012350125811
631,Industrial Truck and Tractor Operators,9.370014002563303e-05,0.009370014002563303,Industrial truck and tractor operators,9.2,0.7,91.5,37411,1.0000000000000004
632,Farm Labor Contractors,9.321190734532209e-05,0.00932119073453221,Buyers and purchasing agents farm products,28.9,9.4,(X),60689,0.21312821128854934
633,Plasterers and Stucco Masons,9.216670724630835e-05,0.009216670724630834,Plasterers and stucco masons,0.4,0.6,-,-,1.0000000000000002
634,Actuaries,9.151892420470037e-05,0.009151892420470037,Actuaries,30.5,3.4,92.7,122497,1.0
635,Telemarketers,9.149359115575927e-05,0.009149359115575927,Telemarketers,64.9,8.4,(X),33773,1.0
636,"Forestry and Conservation Science Teachers, Postsecondary",9.133338225708155e-05,0.009133338225708155,Postsecondary teachers,48.1,0.8,84.8,75212,0.4977743593690669
637,Payroll and Timekeeping Clerks,9.098185875159605e-05,0.009098185875159606,Payroll and timekeeping clerks,86.4,1.8,95.4,51433,1.0000000000000002
638,Shoe Machine Operators and Tenders,9.098068608315733e-05,0.009098068608315732,Shoe and leather workers,39.5,9.1,(X),26817,0.4839976202059857
639,Concierges,9.093483661671809e-05,0.009093483661671809,Baggage porters bellhops and concierges,25.8,3.5,81.3,34545,0.4964165290318837
640,"Biological Science Teachers, Postsecondary",9.050803703415381e-05,0.009050803703415381,Postsecondary teachers,48.1,0.8,84.8,75212,0.5894773784794903
641,Genetic Counselors,8.993792301815512e-05,0.008993792301815512,Counselors all other,66.3,2.6,89.8,50474,0.3974028878368588
642,Insurance Sales Agents,8.988070914965751e-05,0.008988070914965752,Insurance sales agents,50.5,1.4,65.7,50297,1.0
643,Fitness and Wellness Coordinators,8.951054238905099e-05,0.008951054238905099,Exercise trainers and group fitness instructors,46.3,3.2,95.9,40103,0.25729298152523883
644,Soil and Plant Scientists,8.947104158994676e-05,0.008947104158994676,Medical scientists,56.8,2.5,92.6,81833,0.3362924488085299
645,Public Safety Telecommunicators,8.92779217992498e-05,0.00892779217992498,Public safety telecommunicators,64.5,3.0,88.5,47478,1.0
646,General Internal Medicine Physicians,8.917888607687496e-05,0.008917888607687496,Emergency medicine physicians,26.4,5.8,(X),"250,000+",0.5312919675070524
647,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",8.859968435770203e-05,0.008859968435770202,Hosts and hostesses restaurant lounge and coffee shop,75.2,4.8,84,25477,1.0
648,First-Line Supervisors of Correctional Officers,8.7925282672499e-05,0.0087925282672499,Firstline supervisors of correctional officers,31.2,4.7,79.8,56946,0.7220858252333809
649,Recycling Coordinators,8.791494628083186e-05,0.008791494628083187,Total,43.5,0.1,82,51400,0.0
650,Massage Therapists,8.787869263850818e-05,0.008787869263850818,Massage therapists,73.8,4.0,89.6,37558,1.0
651,Farm and Home Management Educators,8.766296683087666e-05,0.008766296683087666,Management analysts,43.2,1.0,85.4,90607,0.3714193007874973
652,Psychiatric Aides,8.750353925015896e-05,0.008750353925015896,Orderlies and psychiatric aides,39.8,4.7,96.8,35344,0.7602648955200699
653,Animal Caretakers,8.748906112657491e-05,0.008748906112657492,Animal caretakers,72.1,2.2,85.4,31277,1.0000000000000002
654,First-Line Supervisors of Firefighting and Prevention Workers,8.748010101377858e-05,0.008748010101377858,Firstline supervisors of firefighting and prevention workers,3.7,1.5,(X),100436,0.7765090373759642
655,"Pediatricians, General",8.743033271212362e-05,0.008743033271212362,General and operations managers,34.0,0.7,80.9,71358,0.38981118302165996
656,"Business Teachers, Postsecondary",8.706203159332975e-05,0.008706203159332975,Postsecondary teachers,48.1,0.8,84.8,75212,0.7058871354930755
657,Financial Managers,8.698639336491143e-05,0.008698639336491143,Financial managers,54.8,0.8,66.6,77072,1.0
658,Park Naturalists,8.635450891444267e-05,0.008635450891444267,Total,43.5,0.1,82,51400,0.0
659,"Architecture Teachers, Postsecondary",8.615877081366775e-05,0.008615877081366775,Postsecondary teachers,48.1,0.8,84.8,75212,0.6395063613048434
660,Helpers--Roofers,8.565860187178551e-05,0.00856586018717855,Roofers,2.7,0.9,(X),26437,0.7739982853733887
661,Talent Directors,8.504444843389228e-05,0.008504444843389228,Producers and directors,38.0,2.2,94.4,78363,0.3680465837080978
662,"Social Work Teachers, Postsecondary",8.498996225741632e-05,0.008498996225741632,Postsecondary teachers,48.1,0.8,84.8,75212,0.5613111557008068
663,Family Medicine Physicians,8.489464963581703e-05,0.008489464963581703,Emergency medicine physicians,26.4,5.8,(X),"250,000+",0.6444510323164199
664,"Economics Teachers, Postsecondary",8.488188674361715e-05,0.008488188674361715,Postsecondary teachers,48.1,0.8,84.8,75212,0.6395063613048434
665,Funeral Attendants,8.473775581036919e-05,0.00847377558103692,Embalmers crematory operators and funeral attendants,32.3,9.3,(X),31977,0.5936714336372277
666,Home Health Aides,8.455637581690889e-05,0.008455637581690888,Home health aides,86.5,1.4,91.8,31744,1.0000000000000002
667,"Ophthalmologists, Except Pediatric",8.424550692094633e-05,0.008424550692094633,Office machine operators except computer,54.6,6.7,(X),31554,0.15528484507271237
668,Tour Guides and Escorts,8.410705667863573e-05,0.008410705667863573,Tour and travel guides,39.9,8.3,(X),39603,0.6815552389701773
669,File Clerks,8.407404008152941e-05,0.00840740400815294,File clerks,74.8,3.0,97.7,41383,1.0000000000000002
670,Market Research Analysts and Marketing Specialists,8.399537303621593e-05,0.008399537303621593,Market research analysts and marketing specialists,58.0,1.7,84.8,73866,1.0
671,Robotics Engineers,8.391684601244455e-05,0.008391684601244455,Sales engineers,9.7,2.0,(X),113766,0.3154945226266798
672,Archivists,8.378110176060925e-05,0.008378110176060924,Archivists curators and museum technicians,54.8,3.7,90.8,60163,0.5477585294269421
673,Equal Opportunity Representatives and Officers,8.371230597475533e-05,0.008371230597475533,Police officers,13.9,0.9,83.1,64004,0.25694005373074535
674,"Criminal Justice and Law Enforcement Teachers, Postsecondary",8.33029369491709e-05,0.00833029369491709,Postsecondary teachers,48.1,0.8,84.8,75212,0.4095245407440537
675,Transit and Railroad Police,8.304998591001297e-05,0.008304998591001297,Police officers,13.9,0.9,83.1,64004,0.39966401156189896
676,"Agricultural Sciences Teachers, Postsecondary",8.296550057403237e-05,0.008296550057403236,Postsecondary teachers,48.1,0.8,84.8,75212,0.5938603158947802
677,Sales Engineers,8.26485263435549e-05,0.00826485263435549,Sales engineers,9.7,2.0,(X),113766,1.0
678,Compliance Officers,8.254623220065003e-05,0.008254623220065004,Compliance officers,55.2,1.5,96.1,75146,0.9999999999999999
679,Administrative Services Managers,8.250110885396336e-05,0.008250110885396336,Administrative services managers,71.9,3.4,74.8,64527,1.0000000000000002
680,Medical Assistants,8.240598383642549e-05,0.008240598383642548,Medical assistants,91.2,0.7,91.7,36930,1.0000000000000002
681,Epidemiologists,8.233301989874061e-05,0.008233301989874061,Total,43.5,0.1,82,51400,0.0
